epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.832,2.22124,2.22605,1.44838,0.56619,0.49874,0.50709,0.21198,2.12954,1.47025,1.43069,0.000663121,0.000663121,0.000663121
2,281.675,1.92138,1.29958,1.29694,0.64198,0.44262,0.50742,0.2359,2.05195,1.52016,1.59563,0.00130346,0.00130346,0.00130346
3,366.046,1.86107,1.23048,1.2811,0.56326,0.50081,0.52604,0.25447,1.91314,1.46522,1.33292,0.00191739,0.00191739,0.00191739
4,479.686,1.78409,1.20938,1.25151,0.58244,0.48626,0.5402,0.29524,1.80612,1.65223,1.32654,0.0018812,0.0018812,0.0018812
5,568.731,1.70895,1.15761,1.22749,0.67281,0.49111,0.5754,0.2995,1.83094,1.61627,1.33179,0.0018416,0.0018416,0.0018416
6,869.872,1.66573,1.13611,1.21005,0.65966,0.54699,0.59456,0.34894,1.57608,1.31334,1.21762,0.001802,0.001802,0.001802
7,940.191,1.60574,1.1118,1.19799,0.71396,0.57285,0.64485,0.3641,1.61807,1.2624,1.2502,0.0017624,0.0017624,0.0017624
8,1017.06,1.58811,1.08935,1.18764,0.72173,0.54796,0.63533,0.39138,1.54922,1.20412,1.21031,0.0017228,0.0017228,0.0017228
9,1095.73,1.55368,1.07767,1.17271,0.67678,0.48026,0.55722,0.31415,1.74718,1.40704,1.27353,0.0016832,0.0016832,0.0016832
10,1176.89,1.53137,1.0583,1.16529,0.72916,0.5269,0.63025,0.36797,1.62199,1.27472,1.21687,0.0016436,0.0016436,0.0016436
11,1257.11,1.53824,1.05023,1.17012,0.74586,0.59633,0.68806,0.43041,1.41743,1.14644,1.16678,0.001604,0.001604,0.001604
12,1338.66,1.4986,1.03167,1.15386,0.74604,0.51928,0.62661,0.34447,1.76523,1.2538,1.27075,0.0015644,0.0015644,0.0015644
13,1419.77,1.47751,1.02929,1.14723,0.7095,0.54191,0.63142,0.39401,1.49035,1.34245,1.19102,0.0015248,0.0015248,0.0015248
14,1499.63,1.45684,1.00981,1.14177,0.7769,0.56684,0.68224,0.42914,1.42768,1.14668,1.14982,0.0014852,0.0014852,0.0014852
15,1581.55,1.44958,1.00211,1.14025,0.77265,0.57492,0.68548,0.44564,1.37779,1.18047,1.14313,0.0014456,0.0014456,0.0014456
16,1662.65,1.44522,0.99566,1.13371,0.79293,0.62087,0.71939,0.47225,1.3265,1.01106,1.13663,0.001406,0.001406,0.001406
17,1744.71,1.40601,0.97603,1.12706,0.79248,0.62549,0.72833,0.46738,1.34623,1.07502,1.12524,0.0013664,0.0013664,0.0013664
18,1825.37,1.39989,0.98305,1.12407,0.78463,0.61672,0.7118,0.46066,1.37576,1.09977,1.1451,0.0013268,0.0013268,0.0013268
19,1906.39,1.41344,0.97307,1.12441,0.76571,0.61349,0.70391,0.46133,1.32273,1.04946,1.13065,0.0012872,0.0012872,0.0012872
20,1985.69,1.38098,0.95709,1.11643,0.77953,0.57908,0.67894,0.41547,1.45654,1.18374,1.15186,0.0012476,0.0012476,0.0012476
21,2065.58,1.39074,0.96072,1.11924,0.76198,0.58716,0.68424,0.44462,1.40408,1.18046,1.14095,0.001208,0.001208,0.001208
22,2153.38,1.35705,0.94033,1.11292,0.79652,0.59363,0.69555,0.43618,1.43842,1.10966,1.15452,0.0011684,0.0011684,0.0011684
23,2234.48,1.37219,0.94967,1.11722,0.78041,0.64719,0.73135,0.48669,1.29574,1.02957,1.12258,0.0011288,0.0011288,0.0011288
24,2318.15,1.32958,0.9288,1.10249,0.80424,0.61089,0.72338,0.47256,1.34834,1.05449,1.12573,0.0010892,0.0010892,0.0010892
25,2398.4,1.33883,0.93877,1.10329,0.80685,0.63369,0.73904,0.49217,1.27622,1.09835,1.10427,0.0010496,0.0010496,0.0010496
26,2481.91,1.33363,0.92855,1.10381,0.78348,0.6333,0.73188,0.4807,1.29065,1.01576,1.104,0.00101,0.00101,0.00101
27,2567.92,1.32409,0.91685,1.099,0.81553,0.61071,0.72446,0.48277,1.282,0.98163,1.10451,0.0009704,0.0009704,0.0009704
28,2647.97,1.31034,0.90815,1.09387,0.80135,0.64743,0.73481,0.49186,1.24499,0.95742,1.09643,0.0009308,0.0009308,0.0009308
29,2731.85,1.29677,0.89912,1.09585,0.79694,0.61625,0.72072,0.48465,1.2888,1.09246,1.12566,0.0008912,0.0008912,0.0008912
30,2816.36,1.28247,0.88335,1.08595,0.82285,0.64241,0.74069,0.50177,1.26342,1.02502,1.1041,0.0008516,0.0008516,0.0008516
31,2904.21,1.30678,0.90277,1.09019,0.79834,0.58301,0.6905,0.46157,1.35349,1.22528,1.14685,0.000812,0.000812,0.000812
32,2989.82,1.2866,0.88852,1.09055,0.79386,0.60471,0.70369,0.47673,1.29721,1.13037,1.1175,0.0007724,0.0007724,0.0007724
33,3076.02,1.26784,0.88332,1.08973,0.80112,0.60826,0.71227,0.4778,1.25089,1.04948,1.1075,0.0007328,0.0007328,0.0007328
34,3171.71,1.27461,0.88402,1.07615,0.81057,0.64465,0.74405,0.507,1.19638,0.94494,1.08274,0.0006932,0.0006932,0.0006932
35,3293.52,1.25899,0.86871,1.07976,0.80957,0.62618,0.72995,0.48979,1.29832,1.15092,1.11988,0.0006536,0.0006536,0.0006536
36,3510.85,1.27968,0.87629,1.08099,0.79577,0.62318,0.72129,0.49088,1.26962,1.07122,1.09857,0.000614,0.000614,0.000614
37,3650.31,1.25939,0.87572,1.08197,0.83506,0.64878,0.75736,0.52521,1.18846,0.96258,1.08394,0.0005744,0.0005744,0.0005744
38,3817.88,1.25264,0.87096,1.07873,0.81089,0.64512,0.73652,0.50531,1.26326,1.01028,1.10927,0.0005348,0.0005348,0.0005348
39,3972.33,1.22217,0.85479,1.07156,0.81825,0.67305,0.76427,0.52791,1.19119,0.96842,1.07495,0.0004952,0.0004952,0.0004952
40,4128.97,1.23993,0.86003,1.07074,0.79826,0.60009,0.70787,0.47996,1.2851,1.06803,1.10592,0.0004556,0.0004556,0.0004556
41,4286.45,1.11145,0.82967,1.05597,0.85302,0.70399,0.79791,0.5565,1.11578,0.85578,1.04585,0.000416,0.000416,0.000416
42,4454.02,1.06913,0.77119,1.03675,0.84731,0.72905,0.81178,0.57397,1.06914,0.81384,1.03135,0.0003764,0.0003764,0.0003764
43,4628.81,1.04367,0.75045,1.03134,0.85218,0.72547,0.81517,0.57632,1.06334,0.80733,1.02896,0.0003368,0.0003368,0.0003368
44,4818.26,1.04014,0.73332,1.02792,0.86885,0.7197,0.81888,0.58337,1.05787,0.7836,1.02675,0.0002972,0.0002972,0.0002972
45,4931.73,1.03852,0.72593,1.02655,0.85692,0.72873,0.81646,0.58053,1.06248,0.79322,1.02834,0.0002576,0.0002576,0.0002576
46,5021.8,1.02315,0.7224,1.02882,0.86739,0.73097,0.82381,0.58516,1.04828,0.77937,1.02147,0.000218,0.000218,0.000218
47,5108.69,0.99752,0.70972,1.02025,0.8783,0.73424,0.8299,0.58886,1.04452,0.7683,1.01893,0.0001784,0.0001784,0.0001784
48,5190.73,0.98307,0.70828,1.01343,0.86829,0.73975,0.82647,0.59336,1.02235,0.76356,1.01444,0.0001388,0.0001388,0.0001388
49,5271.49,0.99248,0.7001,1.01311,0.86793,0.74579,0.82829,0.59061,1.01724,0.7585,1.01301,9.92e-05,9.92e-05,9.92e-05
50,5356.02,0.9861,0.69013,1.01149,0.86436,0.74902,0.82792,0.59066,1.00939,0.76561,1.01055,5.96e-05,5.96e-05,5.96e-05
